Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.713161011,4.752056955,0.982807319,4.429923706,4.750643546,0.124010603,3.627540894,4.751995094,0.8887828,4.404849243,4.750585621,0.143848078,3.64130127,4.751939685,0.894558277,4.332683716,4.750596265,0.183153175,3.671879883,4.751760088,0.902187175,4.25409668,4.750450952,0.238214863
3.713161011,5.00216534,0.981902441,4.426560059,5.000677864,0.124915214,3.628152466,5.002100323,0.887877933,4.40117981,5.00061787,0.144752681,3.641607056,5.002042754,0.893653418,4.329625854,5.000626961,0.184057772,3.672185669,5.001854097,0.901282349,4.252261963,5.000487502,0.239119481
3.713466797,5.252273471,0.980997563,4.423502197,5.250711807,0.125819823,3.628152466,5.252204914,0.886973068,4.39720459,5.25064951,0.145657282,3.641912842,5.252144321,0.892748564,4.326262207,5.250658154,0.184962371,3.672185669,5.251948795,0.90037752,4.250733032,5.250524053,0.2400241
3.714078369,5.502381542,0.980092686,4.419832764,5.500746034,0.126724433,3.628764038,5.502309981,0.886068202,4.392923584,5.500682134,0.146561886,3.642218628,5.502246294,0.891843709,4.323510132,5.500688911,0.185866969,3.672797241,5.502041981,0.899472697,4.248898315,5.500530165,0.240928608
3.714384155,5.752488537,0.979187813,4.41616333,5.750779196,0.127629039,3.629069824,5.752414521,0.885163337,4.389559937,5.750714585,0.147466489,3.642218628,5.752349017,0.890938851,4.320758057,5.750719922,0.186771567,3.672491455,5.752136517,0.898567868,4.247063599,5.750551496,0.241833171
3.714995728,6.002595319,0.97828294,4.41218811,6.000813199,0.128533648,3.62937561,6.002519467,0.884258472,4.385890503,6.000744713,0.148371085,3.642218628,6.002452309,0.890033991,4.317394409,6.000750344,0.187676164,3.672797241,6.002230738,0.897663041,4.245534668,6.000572827,0.242737735
3.714995728,6.252702375,0.977378067,4.408212891,6.250847467,0.129438259,3.629681396,6.252624686,0.883353605,4.381303711,6.250776363,0.149275685,3.642524414,6.252553886,0.889129138,4.314030762,6.250780726,0.18858076,3.672797241,6.252326755,0.896758207,4.244005737,6.250594158,0.243642298
3.7156073,6.502809411,0.976473193,4.404543457,6.500881014,0.130342866,3.629987183,6.502730312,0.882448736,4.377328491,6.500806694,0.150180281,3.643441772,6.502656042,0.888224282,4.3109729,6.500810367,0.189485353,3.672797241,6.502422589,0.895853374,4.242171021,6.50061549,0.244546862
3.715913086,6.752917908,0.975568314,4.400568237,6.750916033,0.131247479,3.629987183,6.752834851,0.881543872,4.373659058,6.750839196,0.151084885,3.643135986,6.752758167,0.887319426,4.308220825,6.750842067,0.190389954,3.673103027,6.752517997,0.894948543,4.24064209,6.75065204,0.24545148
3.716524658,7.003025086,0.97466344,4.396287231,7.000950838,0.132152091,3.630904541,7.002940091,0.880639005,4.369072266,7.000870349,0.151989484,3.643747559,7.002860393,0.88641457,4.305162964,7.000872418,0.19129455,3.673103027,7.002613436,0.894043712,4.238195801,7.000688591,0.246356099
3.716830444,7.253131705,0.973758568,4.392617798,7.250985369,0.133056702,3.631210327,7.253045281,0.879734138,4.365097046,7.250902333,0.152894086,3.643747559,7.25296057,0.885509721,4.302105103,7.250903713,0.19219915,3.673408813,7.252709047,0.893138879,4.23666687,7.250725141,0.247260717
3.71713623,7.503238974,0.972853694,4.388642578,7.501020378,0.133961315,3.631821899,7.503149729,0.878829274,4.361121826,7.500933963,0.153798687,3.643747559,7.503061488,0.88460487,4.299353027,7.500935059,0.193103749,3.6737146,7.502803431,0.892234052,4.235137939,7.500731253,0.248165226
3.71713623,7.753346649,0.971948818,4.384667358,7.751054574,0.134865925,3.631821899,7.753253224,0.877924413,4.357452393,7.75096608,0.154703289,3.643747559,7.753162324,0.883700019,4.296295166,7.750966374,0.194008349,3.674020386,7.752899215,0.891329219,4.233303223,7.750752584,0.249069789
3.717747803,8.003453797,0.971043944,4.37977478,8.001088517,0.135770534,3.632127686,8.00335685,0.877019552,4.352865601,8.000997831,0.15560789,3.644664917,8.003262897,0.882795169,4.293543091,8.000997831,0.194912949,3.6737146,8.002994613,0.890424387,4.232080078,8.000773916,0.249974352
3.718053589,8.253560772,0.970139071,4.375799561,8.251122034,0.136675142,3.632739258,8.253461624,0.876114687,4.348890381,8.25103014,0.156512494,3.644664917,8.253365428,0.881890311,4.290791016,8.25102944,0.19581755,3.674020386,8.253090467,0.889519554,4.230245361,8.250810466,0.250878971
3.718359375,8.503669197,0.969234192,4.371518555,8.501155764,0.13757975,3.633045044,8.503566366,0.875209821,4.345220947,8.50106112,0.157417092,3.644664917,8.503466528,0.880985459,4.288344727,8.501060461,0.196722148,3.674020386,8.503185794,0.888614723,4.229022217,8.500847017,0.251783589
3.718665161,8.753777268,0.968329315,4.367237549,8.751190224,0.138484361,3.63335083,8.753671555,0.874304955,4.341551514,8.75109208,0.15832169,3.645582275,8.753567273,0.880080609,4.285286865,8.751090873,0.197626744,3.674326172,8.753280137,0.887709896,4.2271875,8.750868348,0.252688153
3.718970947,9.003884466,0.967424441,4.362956543,9.001224015,0.13938897,3.633656616,9.003776572,0.873400088,4.337576294,9.0011237,0.159226291,3.645582275,9.003668658,0.879175756,4.28253479,9.001123051,0.198531347,3.674937744,9.003375424,0.886805065,4.226270142,9.000889679,0.253592716
3.718970947,9.253992253,0.966519565,4.359287109,9.251258526,0.140293581,3.634573975,9.253880828,0.872495225,4.333601074,9.251154893,0.16013089,3.645582275,9.253769342,0.878270905,4.280088501,9.251154254,0.199435946,3.674937744,9.253470822,0.885900233,4.224435425,9.25091101,0.25449728
3.719276733,9.504100192,0.965614688,4.354700317,9.501291586,0.141198187,3.634573975,9.503984749,0.871590363,4.329625854,9.50118704,0.161035493,3.646499634,9.503871173,0.87736605,4.277642212,9.501185569,0.200340546,3.674937744,9.503566017,0.884995403,4.223518066,9.500932342,0.255401843
3.71958252,9.754207156,0.964709815,4.351030884,9.751325154,0.142102794,3.634879761,9.754090536,0.870685494,4.326567993,9.751218812,0.161940094,3.647111206,9.753972425,0.876461198,4.274890137,9.751216793,0.201245145,3.675549316,9.753661791,0.88409057,4.221377563,9.750968892,0.256306462
3.720194092,10.00431347,0.963804944,4.346749878,10.001359,0.143007403,3.635491333,10.00419538,0.869780628,4.322592773,10.00125115,0.162844697,3.647111206,10.00407418,0.875556343,4.272749634,10.00124806,0.202149744,3.676160889,10.00375727,0.883185738,4.219848633,10.00099022,0.257211025
3.720499878,10.25442078,0.96290007,4.343080444,10.2513935,0.143912014,3.636102905,10.25430018,0.868875763,4.319840698,10.25128255,0.163749297,3.647416992,10.25417648,0.874651487,4.269997559,10.25128036,0.203054348,3.675855103,10.25385263,0.882280907,4.218625488,10.25102677,0.258115644
3.720805664,10.50452822,0.961995195,4.338799438,10.50142896,0.144816629,3.636408691,10.5044043,0.8679709,4.315559692,10.5013135,0.164653895,3.647416992,10.50427759,0.873746635,4.267857056,10.50131138,0.203958946,3.676466675,10.50394695,0.881376079,4.217402344,10.50106332,0.259020262
3.720805664,10.75463596,0.961090319,4.335130005,10.75146241,0.145721236,3.636408691,10.75450913,0.867066034,4.312196045,10.75134597,0.165558499,3.648028564,10.75437886,0.872841782,4.265410767,10.75134171,0.204863542,3.676772461,10.75404232,0.880471248,4.215873413,10.75108466,0.259924825
3.720805664,11.00474275,0.960185446,4.331154785,11.00149639,0.146625845,3.637020264,11.00461525,0.866161164,4.308832397,11.00137782,0.1664631,3.648640137,11.00448085,0.871936927,4.262964478,11.00137231,0.205768139,3.676772461,11.00413735,0.879566418,4.214956055,11.00110599,0.260829389
3.721417236,11.25485087,0.959280568,4.327485352,11.25153162,0.147530459,3.63732605,11.25472066,0.865256296,4.305774536,11.25140977,0.167367702,3.648640137,11.25458276,0.871032072,4.260518188,11.25140286,0.206672736,3.677078247,11.25423286,0.878661586,4.213427124,11.25112732,0.261733952
3.721723022,11.50495821,0.958375694,4.323815918,11.5015669,0.148435073,3.637631836,11.50482533,0.864351432,4.302105103,11.50144055,0.1682723,3.649251709,11.50468441,0.870127218,4.258683472,11.50143342,0.207577333,3.677689819,11.50432721,0.877756759,4.212203979,11.50113343,0.262638461
3.722028809,11.7550664,0.957470816,4.320452271,11.75160179,0.149339685,3.638243408,11.75493032,0.863446565,4.299047241,11.75147273,0.169176902,3.649557495,11.75478522,0.869222367,4.256848755,11.75146369,0.208481928,3.677689819,11.75442133,0.876851932,4.210980835,11.75116998,0.263543079
3.722028809,12.00517492,0.956565937,4.316477051,12.00163619,0.150244296,3.638549194,12.00503535,0.862541699,4.296295166,12.00150412,0.170081502,3.650169067,12.0048875,0.868317511,4.25409668,12.00149521,0.209386529,3.678301392,12.00451642,0.875947102,4.20975769,12.00120653,0.264447698
3.722334595,12.25528263,0.955661061,4.313113403,12.25167094,0.151148908,3.63885498,12.25514103,0.861636831,4.293237305,12.25153533,0.170986101,3.650474854,12.2549893,0.867412656,4.252261963,12.25152768,0.210291132,3.678301392,12.25461213,0.875042269,4.208840332,12.25124308,0.265352316
3.722334595,12.50538941,0.954756189,4.310055542,12.50170497,0.152053517,3.639466553,12.5052466,0.860731962,4.290485229,12.50156763,0.171890705,3.650474854,12.50509106,0.866507802,4.250427246,12.50155873,0.211195731,3.678912964,12.50470786,0.874137436,4.207617188,12.50127963,0.266256935
3.722946167,12.7554964,0.953851315,4.306691895,12.75173695,0.152958119,3.639772339,12.75535044,0.8598271,4.287121582,12.7515994,0.172795306,3.651086426,12.75519416,0.865602943,4.248592529,12.75159019,0.212100331,3.67921875,12.75480382,0.873232603,4.206394043,12.75130096,0.267161498
3.722640381,13.00560322,0.952946443,4.303022461,13.00177001,0.153862725,3.640383911,13.00545496,0.858922236,4.284981079,13.00163135,0.173699908,3.651086426,13.0052964,0.864698086,4.246452026,13.00162104,0.213004929,3.679830322,13.00490003,0.872327769,4.205170898,13.00133751,0.268066117
3.723251953,13.25571058,0.952041568,4.299658813,13.25180205,0.154767327,3.640383911,13.25556024,0.858017369,4.281617432,13.25166366,0.174604511,3.651697998,13.25539747,0.863793235,4.24461731,13.25165328,0.213909532,3.680136108,13.25499494,0.871422939,4.203947754,13.25137406,0.268970735
3.723557739,13.50581742,0.951136695,4.296906738,13.50183408,0.155671929,3.640995483,13.50566524,0.857112503,4.279476929,13.50169612,0.175509114,3.652003784,13.50549909,0.862888381,4.242782593,13.50168455,0.214814131,3.680441895,13.50509149,0.870518104,4.203030396,13.50141061,0.269875354
3.723863525,13.75592407,0.950231823,4.293848877,13.75186593,0.156576531,3.641607056,13.75577,0.856207637,4.276419067,13.75172852,0.176413718,3.652921143,13.75560054,0.861983527,4.240947876,13.75171556,0.21571873,3.680441895,13.75518688,0.869613272,4.202113037,13.75143195,0.270779917
3.723557739,14.00603104,0.94932695,4.290485229,14.00189947,0.157481138,3.641912842,14.00587506,0.855302771,4.274278564,14.00175993,0.177318318,3.652921143,14.0057018,0.861078675,4.239113159,14.00174669,0.216623328,3.681359253,14.00528277,0.868708439,4.201195679,14.00145328,0.27168448
3.723863525,14.25613675,0.948422081,4.288344727,14.25193306,0.158385746,3.642524414,14.25597946,0.854397907,4.271526489,14.25179316,0.178222924,3.653226929,14.25580235,0.860173825,4.237278442,14.25177709,0.217527925,3.681359253,14.25537843,0.867803607,4.20027832,14.25145939,0.272588989
3.724475098,14.50624424,0.947517206,4.284981079,14.50196668,0.159290354,3.643135986,14.50608425,0.853493042,4.268774414,14.50182594,0.179127529,3.653838501,14.50590275,0.859268975,4.235443726,14.50180819,0.218432523,3.681053467,14.505473,0.866898778,4.199360962,14.50148072,0.273493552
3.724169312,14.75635073,0.946612335,4.281923218,14.75200057,0.160194963,3.643441772,14.75618873,0.852588178,4.266939697,14.751858,0.180032131,3.654144287,14.75600292,0.858364127,4.234526367,14.75183937,0.219337123,3.682276611,14.75556837,0.865993947,4.19874939,14.75150205,0.274398116
3.724780884,15.00645723,0.945707463,4.279171143,15.00203384,0.16109957,3.643747559,15.00629275,0.851683315,4.264799194,15.001889,0.18093673,3.654755859,15.00610367,0.857459276,4.23269165,15.00187167,0.220241726,3.682582397,15.00566447,0.865089113,4.197526245,15.00152338,0.275302679
3.724780884,15.2565644,0.944802589,4.276724854,15.25206674,0.162004175,3.644053345,15.25639812,0.850778447,4.262047119,15.2519212,0.181841332,3.655367432,15.25620394,0.856554427,4.231468506,15.25190372,0.221146328,3.682888184,15.25576029,0.86418428,4.196608887,15.25155993,0.276207298
3.724780884,15.50667153,0.943897715,4.273972778,15.50209968,0.16290878,3.644664917,15.50650325,0.849873581,4.260212402,15.50195251,0.182745932,3.655673218,15.50630516,0.855649574,4.229939575,15.5019346,0.222050926,3.68319397,15.50585591,0.863279448,4.196303101,15.50155083,0.277111751
3.725392456,15.75677789,0.942992844,4.271526489,15.75213319,0.163813388,3.645276489,15.7566071,0.848968719,4.257766113,15.75198411,0.183650533,3.655979004,15.75640727,0.854744719,4.228410645,15.75196524,0.222955523,3.683805542,15.75595054,0.862374619,4.195079956,15.75158738,0.278016369
3.725392456,16.00688527,0.942087969,4.268774414,16.00216679,0.164717996,3.645582275,16.00671007,0.84806386,4.255931396,16.00201565,0.184555133,3.656590576,16.00650775,0.853839869,4.226881714,16.00199556,0.223860119,3.684111328,16.00604652,0.861469786,4.194162598,16.00162393,0.278920988
3.725392456,16.25699214,0.941183096,4.266633911,16.25219935,0.1656226,3.646193848,16.25681345,0.847159,4.253790894,16.25204663,0.185459731,3.656896362,16.25660995,0.852935013,4.225658569,16.25202609,0.224764716,3.684417114,16.25614128,0.860564957,4.193245239,16.25166048,0.279825606
3.725698242,16.50709922,0.940278223,4.264187622,16.50223192,0.166527204,3.646499634,16.50691847,0.846254134,4.251956177,16.50207742,0.186364329,3.657507935,16.50671139,0.85203016,4.223823853,16.50205809,0.225669318,3.685028687,16.50623623,0.859660127,4.192633667,16.50168181,0.28073017
3.726004028,16.75720742,0.939373345,4.262047119,16.75226546,0.167431811,3.647416992,16.75702338,0.845349268,4.249509888,16.75210932,0.187268931,3.658425293,16.7568129,0.851125306,4.222600708,16.75209009,0.22657392,3.685334473,16.75633186,0.858755295,4.192022095,16.75168792,0.281634678
3.726309814,17.00731432,0.938468472,4.25960083,17.00229846,0.168336417,3.647722778,17.00712872,0.8444444,4.248286743,17.00214021,0.188173529,3.658425293,17.00691513,0.85022045,4.221071777,17.00212227,0.227478522,3.685946045,17.0064273,0.857850463,4.19079895,17.00172447,0.282539297
3.726309814,17.25742169,0.937563597,4.257154541,17.25233203,0.169241025,3.648334351,17.25723364,0.843539535,4.24614624,17.252172,0.18907813,3.659036865,17.25701741,0.849315594,4.220154419,17.25215346,0.228383121,3.686557617,17.25652262,0.856945632,4.190493164,17.25176102,0.283443915
