Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.777376099,0.25010803,0.999076411,4.476403198,0.250034958,0.089275931,3.626623535,0.250104195,0.9031073,4.457138672,0.250031447,0.109523835,3.636102905,0.250100928,0.909002018,4.38772522,0.250030747,0.149641699,3.667293091,0.250091431,0.91678805,4.298435669,0.250021331,0.205842535
3.742516479,0.500215817,0.998152822,4.469981689,0.500069611,0.09019925,3.628764038,0.500209029,0.902183722,4.451634521,0.500061676,0.110447137,3.638243408,0.500203134,0.90807845,4.381303711,0.500062508,0.150565007,3.669127808,0.50018409,0.915864517,4.290485229,0.500042663,0.206765804
3.728756104,0.750324496,0.99722923,4.467229614,0.750103148,0.091122564,3.630292969,0.750314259,0.901260143,4.44857666,0.750092616,0.111370442,3.639466553,0.750305208,0.907154883,4.377940063,0.750093935,0.151488313,3.670045166,0.750275784,0.914940988,4.28651001,0.750063994,0.207689073
3.722028809,1.000432445,0.996305641,4.465089111,1.000135528,0.092045874,3.630292969,1.000419123,0.900336565,4.446130371,1.00012319,0.112293746,3.639772339,1.000406897,0.906231317,4.374882202,1.000125575,0.152411621,3.670350952,1.000367804,0.914017458,4.283452148,1.000085325,0.208612343
3.718359375,1.250539836,0.995382054,4.462948608,1.2501687,0.092969187,3.629069824,1.250523825,0.899412988,4.444295654,1.250153866,0.113217049,3.640383911,1.250508089,0.905307753,4.372435913,1.250158351,0.153334932,3.671268311,1.250460635,0.913093924,4.281005859,1.250137095,0.209535725
3.716218872,1.500647704,0.994458465,4.461725464,1.500202704,0.093892503,3.629069824,1.500628923,0.898489409,4.441849365,1.50018437,0.114140353,3.640383911,1.500610457,0.904384184,4.369989624,1.500190031,0.15425824,3.671268311,1.500552198,0.912170396,4.278865356,1.500158426,0.210458994
3.714384155,1.750756403,0.993534873,4.459890747,1.750236231,0.094815818,3.628152466,1.750733747,0.897565832,4.440014648,1.75021604,0.11506366,3.640383911,1.75071315,0.903460614,4.366931763,1.750221681,0.155181547,3.671879883,1.750644035,0.911246866,4.27703064,1.750179757,0.211382263
3.713466797,2.000863794,0.992611286,4.458361816,2.000269768,0.095739132,3.62784668,2.000838469,0.896642255,4.437568359,2.00024701,0.115986965,3.640383911,2.000814606,0.902537049,4.364485474,2.000253067,0.156104854,3.671879883,2.000737383,0.910323331,4.275195923,2.000216308,0.212305589
3.712243652,2.25097154,0.991687697,4.455915527,2.250303406,0.096662447,3.627235107,2.250942887,0.895718678,4.435427856,2.250278132,0.11691027,3.640383911,2.250916112,0.901613484,4.361427612,2.250284565,0.157028161,3.671574097,2.250829332,0.9093998,4.272749634,2.250237639,0.213228858
3.712243652,2.501080037,0.990764106,4.453775024,2.500337339,0.097585763,3.626929321,2.501047772,0.894795101,4.433287354,2.500308625,0.117833574,3.640383911,2.501019211,0.900689912,4.359592896,2.500315048,0.157951464,3.671879883,2.50092196,0.908476268,4.270914917,2.50025897,0.214152127
3.711937866,2.751188645,0.989840515,4.452246094,2.750371586,0.09850908,3.627235107,2.751151764,0.893871526,4.430229492,2.750339159,0.118756877,3.640383911,2.751121569,0.899766344,4.35684082,2.750346495,0.15887477,3.671574097,2.751014,0.907552737,4.2690802,2.750280301,0.215075397
3.711937866,3.001297619,0.988916922,4.449799805,3.000405286,0.099432395,3.626929321,3.001256639,0.892947948,4.427783203,3.000370221,0.119680182,3.640383911,3.00122341,0.898842777,4.353782959,3.000378104,0.159798078,3.671879883,3.001106405,0.906629206,4.26755127,3.000301633,0.215998666
3.711937866,3.251405487,0.987993333,4.447047729,3.250438437,0.100355708,3.627235107,3.251361797,0.892024369,4.424725342,3.250399821,0.120603482,3.640689697,3.25132584,0.897919208,4.350725098,3.250409967,0.160721386,3.671879883,3.251198617,0.905705675,4.26510498,3.250322964,0.216921935
3.711937866,3.501514156,0.987069741,4.444907227,3.500472877,0.101279025,3.627235107,3.501466997,0.89110079,4.42166748,3.500429249,0.121526781,3.640689697,3.501428492,0.896995639,4.347973022,3.500442175,0.161644695,3.671879883,3.501291245,0.904782142,4.26357605,3.500344295,0.217845205
3.71163208,3.751622734,0.986146149,4.441849365,3.750506181,0.102202339,3.627235107,3.751572521,0.89017721,4.418609619,3.750459631,0.122450084,3.640689697,3.751530962,0.89607207,4.344915161,3.750473084,0.162568,3.671879883,3.751385365,0.903858604,4.262047119,3.750350407,0.218768418
3.711937866,4.00173187,0.985222556,4.43909729,4.000540266,0.103125655,3.627235107,4.001679567,0.889253624,4.415245972,4.000490895,0.12337339,3.640689697,4.001633158,0.895148502,4.341551514,4.000504278,0.163491306,3.671879883,4.001477628,0.902935073,4.260212402,4.000371739,0.219691687
3.712549438,4.251840489,0.984298964,4.436039429,4.250574554,0.104048973,3.627540894,4.251784533,0.888330046,4.411576538,4.250522342,0.124296697,3.640995483,4.251735273,0.894224934,4.338799438,4.250535217,0.16441461,3.672185669,4.251571271,0.902011536,4.258377686,4.250408289,0.220615013
3.712549438,4.5019486,0.983375374,4.432981567,4.500609024,0.10497229,3.62784668,4.50188963,0.887406467,4.408518677,4.500554154,0.125220005,3.640995483,4.501837033,0.893301368,4.336047363,4.50056636,0.165337916,3.671879883,4.501665644,0.901087997,4.256542969,4.50042962,0.221538282
3.713161011,4.752056955,0.982451784,4.429923706,4.750643546,0.105895608,3.627540894,4.751995094,0.886482887,4.404849243,4.750585621,0.126143311,3.64130127,4.751939685,0.892377798,4.332683716,4.750596265,0.166261217,3.671879883,4.751760088,0.900164458,4.25409668,4.750450952,0.222461551
3.713161011,5.00216534,0.981528193,4.426560059,5.000677864,0.106818926,3.628152466,5.002100323,0.885559308,4.40117981,5.00061787,0.127066621,3.641607056,5.002042754,0.891454227,4.329625854,5.000626961,0.167184521,3.672185669,5.001854097,0.89924092,4.252261963,5.000487502,0.223384877
3.713466797,5.252273471,0.980604603,4.423502197,5.250711807,0.107742242,3.628152466,5.252204914,0.884635731,4.39720459,5.25064951,0.127989928,3.641912842,5.252144321,0.890530662,4.326262207,5.250658154,0.168107827,3.672185669,5.251948795,0.89831738,4.250733032,5.250524053,0.224308202
3.714078369,5.502381542,0.979681014,4.419832764,5.500746034,0.108665558,3.628764038,5.502309981,0.883712153,4.392923584,5.500682134,0.128913239,3.642218628,5.502246294,0.889607095,4.323510132,5.500688911,0.169031131,3.672797241,5.502041981,0.897393845,4.248898315,5.500530165,0.225231415
3.714384155,5.752488537,0.978757428,4.41616333,5.750779196,0.109588871,3.629069824,5.752414521,0.882788576,4.389559937,5.750714585,0.12983655,3.642218628,5.752349017,0.888683525,4.320758057,5.750719922,0.169954436,3.672491455,5.752136517,0.896470306,4.247063599,5.750551496,0.226154685
