Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.713161011,4.752056955,0.982719793,4.429923706,4.750643546,0.119551021,3.627540894,4.751995094,0.888216603,4.404849243,4.750585621,0.139489486,3.64130127,4.751939685,0.894021483,4.332683716,4.750596265,0.178994682,3.671879883,4.751760088,0.901689219,4.25409668,4.750450952,0.234336684
3.713161011,5.00216534,0.981810308,4.426560059,5.000677864,0.120460237,3.628152466,5.002100323,0.88730713,4.40117981,5.00061787,0.140398694,3.641607056,5.002042754,0.893112017,4.329625854,5.000626961,0.179903885,3.672185669,5.001854097,0.900779786,4.252261963,5.000487502,0.235245908
3.713466797,5.252273471,0.980900824,4.423502197,5.250711807,0.121369451,3.628152466,5.252204914,0.886397658,4.39720459,5.25064951,0.1413079,3.641912842,5.252144321,0.892202557,4.326262207,5.250658154,0.180813089,3.672185669,5.251948795,0.899870351,4.250733032,5.250524053,0.236155131
3.714078369,5.502381542,0.97999134,4.419832764,5.500746034,0.122278666,3.628764038,5.502309981,0.885488186,4.392923584,5.500682134,0.14221711,3.642218628,5.502246294,0.891293095,4.323510132,5.500688911,0.181722292,3.672797241,5.502041981,0.898960921,4.248898315,5.500530165,0.237064245
3.714384155,5.752488537,0.97908186,4.41616333,5.750779196,0.123187878,3.629069824,5.752414521,0.884578714,4.389559937,5.750714585,0.143126319,3.642218628,5.752349017,0.890383631,4.320758057,5.750719922,0.182631495,3.672491455,5.752136517,0.898051486,4.247063599,5.750551496,0.237973413
3.714995728,6.002595319,0.978172381,4.41218811,6.000813199,0.124097092,3.62937561,6.002519467,0.883669242,4.385890503,6.000744713,0.144035519,3.642218628,6.002452309,0.889474164,4.317394409,6.000750344,0.183540697,3.672797241,6.002230738,0.897142053,4.245534668,6.000572827,0.238882582
3.714995728,6.252702375,0.9772629,4.408212891,6.250847467,0.125006308,3.629681396,6.252624686,0.882759768,4.381303711,6.250776363,0.144944725,3.642524414,6.252553886,0.888564704,4.314030762,6.250780726,0.184449898,3.672797241,6.252326755,0.896232613,4.244005737,6.250594158,0.23979175
3.7156073,6.502809411,0.97635342,4.404543457,6.500881014,0.125915521,3.629987183,6.502730312,0.881850293,4.377328491,6.500806694,0.145853927,3.643441772,6.502656042,0.887655242,4.3109729,6.500810367,0.185359097,3.672797241,6.502422589,0.895323173,4.242171021,6.50061549,0.240700919
3.715913086,6.752917908,0.975443935,4.400568237,6.750916033,0.126824739,3.629987183,6.752834851,0.880940822,4.373659058,6.750839196,0.146763136,3.643135986,6.752758167,0.886745779,4.308220825,6.750842067,0.186268303,3.673103027,6.752517997,0.894413736,4.24064209,6.75065204,0.241610142
3.716524658,7.003025086,0.974534454,4.396287231,7.000950838,0.127733957,3.630904541,7.002940091,0.880031349,4.369072266,7.000870349,0.14767234,3.643747559,7.002860393,0.885836317,4.305162964,7.000872418,0.187177504,3.673103027,7.002613436,0.893504298,4.238195801,7.000688591,0.242519366
3.716830444,7.253131705,0.973624976,4.392617798,7.250985369,0.128643173,3.631210327,7.253045281,0.879121875,4.365097046,7.250902333,0.148581547,3.643747559,7.25296057,0.884926862,4.302105103,7.250903713,0.188086709,3.673408813,7.252709047,0.892594859,4.23666687,7.250725141,0.24342859
3.71713623,7.503238974,0.972715495,4.388642578,7.501020378,0.129552391,3.631821899,7.503149729,0.878212405,4.361121826,7.500933963,0.149490753,3.643747559,7.503061488,0.884017404,4.299353027,7.500935059,0.188995914,3.6737146,7.502803431,0.891685425,4.235137939,7.500731253,0.244337703
3.71713623,7.753346649,0.971806012,4.384667358,7.751054574,0.130461606,3.631821899,7.753253224,0.877302937,4.357452393,7.75096608,0.150399961,3.643747559,7.753162324,0.883107946,4.296295166,7.750966374,0.189905119,3.674020386,7.752899215,0.890775986,4.233303223,7.750752584,0.245246872
3.717747803,8.003453797,0.970896532,4.37977478,8.001088517,0.131370821,3.632127686,8.00335685,0.87639347,4.352865601,8.000997831,0.151309167,3.644664917,8.003262897,0.882198489,4.293543091,8.000997831,0.190814324,3.6737146,8.002994613,0.889866548,4.232080078,8.000773916,0.24615604
3.718053589,8.253560772,0.969987052,4.375799561,8.251122034,0.132280034,3.632739258,8.253461624,0.875483998,4.348890381,8.25103014,0.152218375,3.644664917,8.253365428,0.881289026,4.290791016,8.25102944,0.19172353,3.674020386,8.253090467,0.888957108,4.230245361,8.250810466,0.247065264
3.718359375,8.503669197,0.969077567,4.371518555,8.501155764,0.133189247,3.633045044,8.503566366,0.874574526,4.345220947,8.50106112,0.153127579,3.644664917,8.503466528,0.880379567,4.288344727,8.501060461,0.192632734,3.674020386,8.503185794,0.888047671,4.229022217,8.500847017,0.247974488
3.718665161,8.753777268,0.968168083,4.367237549,8.751190224,0.134098463,3.63335083,8.753671555,0.873665053,4.341551514,8.75109208,0.154036782,3.645582275,8.753567273,0.87947011,4.285286865,8.751090873,0.193541935,3.674326172,8.753280137,0.887138237,4.2271875,8.750868348,0.248883656
3.718970947,9.003884466,0.967258602,4.362956543,9.001224015,0.135007677,3.633656616,9.003776572,0.87275558,4.337576294,9.0011237,0.154945988,3.645582275,9.003668658,0.87856065,4.28253479,9.001123051,0.194451143,3.674937744,9.003375424,0.8862288,4.226270142,9.000889679,0.249792825
3.718970947,9.253992253,0.966349119,4.359287109,9.251258526,0.135916894,3.634573975,9.253880828,0.87184611,4.333601074,9.251154893,0.155855193,3.645582275,9.253769342,0.877651193,4.280088501,9.251154254,0.195360347,3.674937744,9.253470822,0.885319362,4.224435425,9.25091101,0.250701993
3.719276733,9.504100192,0.965439636,4.354700317,9.501291586,0.136826105,3.634573975,9.503984749,0.870936641,4.329625854,9.50118704,0.156764401,3.646499634,9.503871173,0.876741732,4.277642212,9.501185569,0.196269552,3.674937744,9.503566017,0.884409925,4.223518066,9.500932342,0.251611162
3.71958252,9.754207156,0.964530156,4.351030884,9.751325154,0.137735318,3.634879761,9.754090536,0.870027165,4.326567993,9.751218812,0.157673607,3.647111206,9.753972425,0.875832273,4.274890137,9.751216793,0.197178757,3.675549316,9.753661791,0.883500485,4.221377563,9.750968892,0.252520385
