Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.777376099,0.25010803,0.999081498,4.476403198,0.250034958,0.094292773,3.626623535,0.250104195,0.903641046,4.457138672,0.250031447,0.114429139,3.636102905,0.250100928,0.909503293,4.38772522,0.250030747,0.154326008,3.667293091,0.250091431,0.917246434,4.298435669,0.250021331,0.210217255
3.742516479,0.500215817,0.998162997,4.469981689,0.500069611,0.095211006,3.628764038,0.500209029,0.902722556,4.451634521,0.500061676,0.115347355,3.638243408,0.500203134,0.908584812,4.381303711,0.500062508,0.15524423,3.669127808,0.50018409,0.916327988,4.290485229,0.500042663,0.211135438
3.728756104,0.750324496,0.997244493,4.467229614,0.750103148,0.096129234,3.630292969,0.750314259,0.901804064,4.44857666,0.750092616,0.116265574,3.639466553,0.750305208,0.907666332,4.377940063,0.750093935,0.15616245,3.670045166,0.750275784,0.915409547,4.28651001,0.750063994,0.212053621
3.722028809,1.000432445,0.996325992,4.465089111,1.000135528,0.097047458,3.630292969,1.000419123,0.900885574,4.446130371,1.00012319,0.117183791,3.639772339,1.000406897,0.906747854,4.374882202,1.000125575,0.157080672,3.670350952,1.000367804,0.914491104,4.283452148,1.000085325,0.212971805
3.718359375,1.250539836,0.995407492,4.462948608,1.2501687,0.097965685,3.629069824,1.250523825,0.899967085,4.444295654,1.250153866,0.118102009,3.640383911,1.250508089,0.905829377,4.372435913,1.250158351,0.157998897,3.671268311,1.250460635,0.913572658,4.281005859,1.250137095,0.2138901
3.716218872,1.500647704,0.994488991,4.461725464,1.500202704,0.098883914,3.629069824,1.500628923,0.899048594,4.441849365,1.50018437,0.119020226,3.640383911,1.500610457,0.904910896,4.369989624,1.500190031,0.158917118,3.671268311,1.500552198,0.912654216,4.278865356,1.500158426,0.214808283
3.714384155,1.750756403,0.993570487,4.459890747,1.750236231,0.099802143,3.628152466,1.750733747,0.898130104,4.440014648,1.75021604,0.119938447,3.640383911,1.75071315,0.903992414,4.366931763,1.750221681,0.15983534,3.671879883,1.750644035,0.911735774,4.27703064,1.750179757,0.215726467
3.713466797,2.000863794,0.992651988,4.458361816,2.000269768,0.100720371,3.62784668,2.000838469,0.897211614,4.437568359,2.00024701,0.120856666,3.640383911,2.000814606,0.903073936,4.364485474,2.000253067,0.16075356,3.671879883,2.000737383,0.910817326,4.275195923,2.000216308,0.216644706
3.712243652,2.25097154,0.991733487,4.455915527,2.250303406,0.101638599,3.627235107,2.250942887,0.896293126,4.435427856,2.250278132,0.121774885,3.640383911,2.250916112,0.902155459,4.361427612,2.250284565,0.161671781,3.671574097,2.250829332,0.909898883,4.272749634,2.250237639,0.217562889
3.712243652,2.501080037,0.990814983,4.453775024,2.500337339,0.102556829,3.626929321,2.501047772,0.895374635,4.433287354,2.500308625,0.122693102,3.640383911,2.501019211,0.901236975,4.359592896,2.500315048,0.162589998,3.671879883,2.50092196,0.908980438,4.270914917,2.50025897,0.218481073
3.711937866,2.751188645,0.989896479,4.452246094,2.750371586,0.10347506,3.627235107,2.751151764,0.894456148,4.430229492,2.750339159,0.123611319,3.640383911,2.751121569,0.900318494,4.35684082,2.750346495,0.163508218,3.671574097,2.751014,0.908061995,4.2690802,2.750280301,0.219399256
3.711937866,3.001297619,0.988977974,4.449799805,3.000405286,0.104393289,3.626929321,3.001256639,0.893537658,4.427783203,3.000370221,0.124529538,3.640383911,3.00122341,0.899400015,4.353782959,3.000378104,0.164426439,3.671879883,3.001106405,0.907143551,4.26755127,3.000301633,0.220317439
3.711937866,3.251405487,0.988059473,4.447047729,3.250438437,0.105311515,3.627235107,3.251361797,0.892619167,4.424725342,3.250399821,0.125447752,3.640689697,3.25132584,0.898481534,4.350725098,3.250409967,0.165344661,3.671879883,3.251198617,0.906225107,4.26510498,3.250322964,0.221235623
3.711937866,3.501514156,0.987140969,4.444907227,3.500472877,0.106229747,3.627235107,3.501466997,0.891700676,4.42166748,3.500429249,0.126365965,3.640689697,3.501428492,0.897563052,4.347973022,3.500442175,0.166262885,3.671879883,3.501291245,0.905306662,4.26357605,3.500344295,0.222153806
3.71163208,3.751622734,0.986222465,4.441849365,3.750506181,0.107147974,3.627235107,3.751572521,0.890782183,4.418609619,3.750459631,0.127284182,3.640689697,3.751530962,0.89664457,4.344915161,3.750473084,0.167181103,3.671879883,3.751385365,0.904388211,4.262047119,3.750350407,0.223071934
3.711937866,4.00173187,0.985303959,4.43909729,4.000540266,0.108066204,3.627235107,4.001679567,0.889863685,4.415245972,4.000490895,0.128202402,3.640689697,4.001633158,0.89572609,4.341551514,4.000504278,0.168099323,3.671879883,4.001477628,0.903469767,4.260212402,4.000371739,0.223990117
3.712549438,4.251840489,0.984385455,4.436039429,4.250574554,0.108984435,3.627540894,4.251784533,0.888945195,4.411576538,4.250522342,0.129120622,3.640995483,4.251735273,0.89480761,4.338799438,4.250535217,0.169017541,3.672185669,4.251571271,0.902551319,4.258377686,4.250408289,0.224908356
3.712549438,4.5019486,0.983466953,4.432981567,4.500609024,0.109902667,3.62784668,4.50188963,0.888026704,4.408518677,4.500554154,0.130038844,3.640995483,4.501837033,0.893889131,4.336047363,4.50056636,0.169935761,3.671879883,4.501665644,0.901632867,4.256542969,4.50042962,0.22582654
3.713161011,4.752056955,0.98254845,4.429923706,4.750643546,0.110820899,3.627540894,4.751995094,0.887108211,4.404849243,4.750585621,0.130957065,3.64130127,4.751939685,0.892970649,4.332683716,4.750596265,0.170853976,3.671879883,4.751760088,0.900714415,4.25409668,4.750450952,0.226744723
3.713161011,5.00216534,0.981629947,4.426560059,5.000677864,0.11173913,3.628152466,5.002100323,0.88618972,4.40117981,5.00061787,0.131875288,3.641607056,5.002042754,0.892052166,4.329625854,5.000626961,0.171772193,3.672185669,5.001854097,0.899795965,4.252261963,5.000487502,0.227662962
3.713466797,5.252273471,0.980711445,4.423502197,5.250711807,0.11265736,3.628152466,5.252204914,0.885271231,4.39720459,5.25064951,0.132793509,3.641912842,5.252144321,0.891133688,4.326262207,5.250658154,0.172690413,3.672185669,5.251948795,0.898877512,4.250733032,5.250524053,0.228581201
3.714078369,5.502381542,0.979792943,4.419832764,5.500746034,0.11357559,3.628764038,5.502309981,0.88435274,4.392923584,5.500682134,0.133711734,3.642218628,5.502246294,0.890215208,4.323510132,5.500688911,0.173608631,3.672797241,5.502041981,0.897959065,4.248898315,5.500530165,0.229499329
