Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li,Voltage (V),Capacity (mAh/g),Li
1C,,,1D,,,2C,,,2D,,,5C,,,5D,,,10C,,,10D,,
3.777376099,0.25010803,0.99909545,4.476403198,0.250034958,0.108050351,3.626623535,0.250104195,0.905104726,4.457138672,0.250031447,0.127880848,3.636102905,0.250100928,0.910877926,4.38772522,0.250030747,0.167171689,3.667293091,0.250091431,0.91850345,4.298435669,0.250021331,0.222213955
3.742516479,0.500215817,0.998190901,4.469981689,0.500069611,0.108954636,3.628764038,0.500209029,0.904200188,4.451634521,0.500061676,0.128785117,3.638243408,0.500203134,0.909973397,4.381303711,0.500062508,0.168075963,3.669127808,0.50018409,0.917598956,4.290485229,0.500042663,0.223118191
3.728756104,0.750324496,0.997286349,4.467229614,0.750103148,0.109858916,3.630292969,0.750314259,0.903295648,4.44857666,0.750092616,0.129689388,3.639466553,0.750305208,0.909068869,4.377940063,0.750093935,0.168980236,3.670045166,0.750275784,0.916694465,4.28651001,0.750063994,0.224022427
3.722028809,1.000432445,0.996381799,4.465089111,1.000135528,0.110763193,3.630292969,1.000419123,0.90239111,4.446130371,1.00012319,0.130593657,3.639772339,1.000406897,0.908164342,4.374882202,1.000125575,0.169884509,3.670350952,1.000367804,0.915789973,4.283452148,1.000085325,0.224926663
3.718359375,1.250539836,0.995477252,4.462948608,1.2501687,0.111667472,3.629069824,1.250523825,0.901486572,4.444295654,1.250153866,0.131497928,3.640383911,1.250508089,0.907259817,4.372435913,1.250158351,0.170788787,3.671268311,1.250460635,0.914885478,4.281005859,1.250137095,0.22583101
3.716218872,1.500647704,0.994572703,4.461725464,1.500202704,0.112571754,3.629069824,1.500628923,0.900582033,4.441849365,1.50018437,0.132402197,3.640383911,1.500610457,0.906355288,4.369989624,1.500190031,0.171693061,3.671268311,1.500552198,0.913980988,4.278865356,1.500158426,0.226735246
3.714384155,1.750756403,0.99366815,4.459890747,1.750236231,0.113476034,3.628152466,1.750733747,0.899677495,4.440014648,1.75021604,0.133306471,3.640383911,1.75071315,0.905450757,4.366931763,1.750221681,0.172597334,3.671879883,1.750644035,0.913076496,4.27703064,1.750179757,0.227639482
3.713466797,2.000863794,0.992763603,4.458361816,2.000269768,0.114380315,3.62784668,2.000838469,0.898772957,4.437568359,2.00024701,0.134210742,3.640383911,2.000814606,0.904546231,4.364485474,2.000253067,0.173501607,3.671879883,2.000737383,0.912172,4.275195923,2.000216308,0.228543774
3.712243652,2.25097154,0.991859054,4.455915527,2.250303406,0.115284595,3.627235107,2.250942887,0.89786842,4.435427856,2.250278132,0.135115013,3.640383911,2.250916112,0.903641705,4.361427612,2.250284565,0.17440588,3.671574097,2.250829332,0.911267508,4.272749634,2.250237639,0.22944801
3.712243652,2.501080037,0.990954503,4.453775024,2.500337339,0.116188877,3.626929321,2.501047772,0.896963881,4.433287354,2.500308625,0.136019283,3.640383911,2.501019211,0.902737173,4.359592896,2.500315048,0.17531015,3.671879883,2.50092196,0.910363014,4.270914917,2.50025897,0.230352246
3.711937866,2.751188645,0.990049951,4.452246094,2.750371586,0.11709316,3.627235107,2.751151764,0.896059346,4.430229492,2.750339159,0.136923552,3.640383911,2.751121569,0.901832644,4.35684082,2.750346495,0.176214422,3.671574097,2.751014,0.909458522,4.2690802,2.750280301,0.231256482
3.711937866,3.001297619,0.989145397,4.449799805,3.000405286,0.117997441,3.626929321,3.001256639,0.895154808,4.427783203,3.000370221,0.137827824,3.640383911,3.00122341,0.900928116,4.353782959,3.000378104,0.177118696,3.671879883,3.001106405,0.908554029,4.26755127,3.000301633,0.232160719
3.711937866,3.251405487,0.988240848,4.447047729,3.250438437,0.11890172,3.627235107,3.251361797,0.894250268,4.424725342,3.250399821,0.13873209,3.640689697,3.25132584,0.900023586,4.350725098,3.250409967,0.17802297,3.671879883,3.251198617,0.907649536,4.26510498,3.250322964,0.233064955
3.711937866,3.501514156,0.987336296,4.444907227,3.500472877,0.119806004,3.627235107,3.501466997,0.893345729,4.42166748,3.500429249,0.139636356,3.640689697,3.501428492,0.899119056,4.347973022,3.500442175,0.178927246,3.671879883,3.501291245,0.906745042,4.26357605,3.500344295,0.233969191
3.71163208,3.751622734,0.986431744,4.441849365,3.750506181,0.120710283,3.627235107,3.751572521,0.892441188,4.418609619,3.750459631,0.140540625,3.640689697,3.751530962,0.898214526,4.344915161,3.750473084,0.179831517,3.671879883,3.751385365,0.905840542,4.262047119,3.750350407,0.234873373
3.711937866,4.00173187,0.98552719,4.43909729,4.000540266,0.121614566,3.627235107,4.001679567,0.891536642,4.415245972,4.000490895,0.141444897,3.640689697,4.001633158,0.897309998,4.341551514,4.000504278,0.180735789,3.671879883,4.001477628,0.904936049,4.260212402,4.000371739,0.235777609
3.712549438,4.251840489,0.984622638,4.436039429,4.250574554,0.122518849,3.627540894,4.251784533,0.890632103,4.411576538,4.250522342,0.14234917,3.640995483,4.251735273,0.896405469,4.338799438,4.250535217,0.18164006,3.672185669,4.251571271,0.904031552,4.258377686,4.250408289,0.2366819
3.712549438,4.5019486,0.983718088,4.432981567,4.500609024,0.123423133,3.62784668,4.50188963,0.889727564,4.408518677,4.500554154,0.143253444,3.640995483,4.501837033,0.895500942,4.336047363,4.50056636,0.182544332,3.671879883,4.501665644,0.903127051,4.256542969,4.50042962,0.237586136
3.713161011,4.752056955,0.982813537,4.429923706,4.750643546,0.124327417,3.627540894,4.751995094,0.888823023,4.404849243,4.750585621,0.144157717,3.64130127,4.751939685,0.894596412,4.332683716,4.750596265,0.183448599,3.671879883,4.751760088,0.90222255,4.25409668,4.750450952,0.238490373
3.713161011,5.00216534,0.981908986,4.426560059,5.000677864,0.1252317,3.628152466,5.002100323,0.887918483,4.40117981,5.00061787,0.145061993,3.641607056,5.002042754,0.89369188,4.329625854,5.000626961,0.184352869,3.672185669,5.001854097,0.901318051,4.252261963,5.000487502,0.239394664
3.713466797,5.252273471,0.981004436,4.423502197,5.250711807,0.126135982,3.628152466,5.252204914,0.887013946,4.39720459,5.25064951,0.145966266,3.641912842,5.252144321,0.892787353,4.326262207,5.250658154,0.185257141,3.672185669,5.251948795,0.90041355,4.250733032,5.250524053,0.240298955
